NodeType,MIMversion,MO,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5
,,Icmp,0,,,,
,,DscpGroup,0,,,,
,,IpMux,0,,,,
,,Mtp3bSpAnsi,0,,,,
,,IpRouterIntIf,0,,,,
,,Mtp2TpChina,0,,,,
,,Ipv4RouterIf,0,,,,
,,OspfArea,0,,,,
,,Mtp2TpAnsi,0,,,,
,,PacketDataRouter,0,,,,
,,TwampResponder,0,,,,
,,OspfInterface,0,,,,
,,FastEthernet,0,,,,
,,Mtp2TpItu,0,,,,
,,IpHostLink,0,,,,
,,Aal0TpVccTp,0,,,,
,,IpTerminationHost,0,,,,
,,E1PhysPathTerm,0,,,,
,,RoutingArea,0,,,,
,,Vc12Ttp,0,,,,
,,T1PhysPathTerm,0,,,,
,,IpSecTunnel,0,,,,
,,Sts3CspeTtp,0,,,,
,,IpRouter,0,,,,
,,Vc3Ttp,0,,,,
,,Mtp3bSlItu,0,,,,
,,IpAtmLink,0,,,,
,,WifiMobility,0,,,,
,,Synchronization,0,,,,
,,ImaLink,0,,,,
,,Mtp3bSpItu,0,,,,
,,SwitchPortStp,0,,,,
,,Sts1SpeTtp,0,,,,
,,T1Ttp,0,,,,
,,Ospf,0,,,,
,,J1PhysPathTerm,0,,,,
,,InterfaceIpv4,0,,,,
,,Mtp3bSpChina,0,,,,
,,SwitchStp,0,,,,
,,LocationArea,0,,,,
,,ImaGroup,0,,,,
,,SccpPolicing,0,,,,
,,Mtp2HslTpChina,0,,,,
,,Ip,0,,,,
,,ControlSwitchPort,0,,,,
,,PositioningServiceClass,0,,,,
,,E1Ttp,0,,,,
,,EthernetPort,0,,,,
,,IkePeer,0,,,,
,,SwitchInternalLinkPort,0,,,,
,,ExchangeTerminal,0,,,,
,,TrafficManagementQueue,0,,,,
,,T3PhysPathTerm,0,,,,
,,Mtp3bSrs,0,,,,
,,VpnInterface,0,,,,
,,Ipv6Interface,0,,,,
,,Vc4Ttp,0,,,,
,,Os155SpiTtp,0,,,,
,,Vc11Ttp,0,,,,
,,SccpAccountingCriteria,0,,,,
,,Mtp3bSlTtc,0,,,,
,,Mtp3bSlChina,0,,,,
,,DefaultRouter,0,,,,
,,Mtp3bSpTtc,0,,,,
,,E3PhysPathTerm,0,,,,
,,IcmpServer,0,,,,
,,Ranap,1,,,,
,,Sctp,1,,,,
,,GigaBitEthernet,1,,,,
,,InternalLinkGroup,1,,,,
,,IubLink,1,,,,
,,AtmPort,1,,,,
